===LAUE4 WAVELENGTH CALIBRATION FILE===
Instrument: KOALA     Calibration date: 12:00:00 13/03/2013      
Comments: Best compromise generated from three KOALA experiments
     0.5        0.000191
   0.501        0.000269
   0.502        0.000281
   0.503        0.000293
   0.504        0.000305
   0.505        0.000316
   0.506        0.000328
   0.507        0.000341
   0.508        0.000358
   0.509        0.000371
    0.51        0.000386
   0.511          0.0004
   0.512        0.000418
   0.513        0.000436
   0.514        0.000454
   0.515         0.00047
   0.516        0.000489
   0.517        0.000506
   0.518        0.000525
   0.519        0.000544
    0.52        0.000565
   0.521        0.000587
   0.522         0.00061
   0.523        0.000634
   0.524        0.000657
   0.525        0.000682
   0.526        0.000707
   0.527        0.000733
   0.528        0.000761
   0.529        0.000787
    0.53        0.000819
   0.531        0.000848
   0.532        0.000879
   0.533         0.00091
   0.534        0.000944
   0.535        0.000977
   0.536         0.00101
   0.537        0.001046
   0.538        0.001083
   0.539        0.001122
    0.54         0.00116
   0.541          0.0012
   0.542         0.00124
   0.543        0.001283
   0.544        0.001327
   0.545        0.001372
   0.546        0.001416
   0.547        0.001464
   0.548         0.00151
   0.549        0.001561
    0.55        0.001612
   0.551        0.001667
   0.552         0.00172
   0.553        0.001774
   0.554        0.001832
   0.555         0.00189
   0.556        0.001949
   0.557         0.00201
   0.558        0.002072
   0.559        0.002137
    0.56        0.002202
   0.561        0.002271
   0.562        0.002339
   0.563        0.002409
   0.564        0.002482
   0.565        0.002556
   0.566        0.002633
   0.567        0.002709
   0.568         0.00279
   0.569        0.002873
    0.57        0.002956
   0.571         0.00304
   0.572        0.003127
   0.573        0.003216
   0.574        0.003308
   0.575        0.003403
   0.576        0.003498
   0.577        0.003598
   0.578        0.003699
   0.579        0.003802
    0.58        0.003907
   0.581        0.004014
   0.582        0.004124
   0.583        0.004238
   0.584        0.004354
   0.585        0.004472
   0.586         0.00459
   0.587        0.004715
   0.588        0.004839
   0.589        0.004969
    0.59        0.005099
   0.591        0.005233
   0.592         0.00537
   0.593        0.005509
   0.594        0.005652
   0.595        0.005798
   0.596        0.005945
   0.597        0.006097
   0.598        0.006252
   0.599        0.006409
     0.6         0.00657
   0.601        0.006735
   0.602        0.006901
   0.603        0.007074
   0.604        0.007247
   0.605        0.007425
   0.606        0.007606
   0.607         0.00779
   0.608        0.007979
   0.609        0.008171
    0.61        0.008367
   0.611        0.008566
   0.612         0.00877
   0.613        0.008975
   0.614        0.009186
   0.615        0.009401
   0.616        0.009617
   0.617        0.009841
   0.618        0.010068
   0.619        0.010297
    0.62        0.010533
   0.621        0.010772
   0.622        0.011015
   0.623        0.011262
   0.624        0.011513
   0.625        0.011771
   0.626        0.012032
   0.627        0.012299
   0.628        0.012565
   0.629         0.01284
    0.63        0.013118
   0.631        0.013402
   0.632        0.013692
   0.633        0.013985
   0.634        0.014281
   0.635        0.014585
   0.636        0.014893
   0.637        0.015205
   0.638        0.015521
   0.639        0.015844
    0.64        0.016173
   0.641        0.016507
   0.642        0.016844
   0.643        0.017189
   0.644        0.017538
   0.645        0.017892
   0.646        0.018251
   0.647        0.018617
   0.648        0.018988
   0.649        0.019366
    0.65        0.019748
   0.651        0.020136
   0.652        0.020529
   0.653        0.020927
   0.654        0.021332
   0.655        0.021741
   0.656        0.022157
   0.657        0.022578
   0.658        0.023002
   0.659        0.023436
    0.66        0.023873
   0.661        0.024316
   0.662        0.024766
   0.663         0.02522
   0.664        0.025681
   0.665        0.026147
   0.666        0.026619
   0.667        0.027096
   0.668        0.027579
   0.669        0.028067
    0.67        0.028562
   0.671        0.029063
   0.672         0.02957
   0.673        0.030082
   0.674          0.0306
   0.675        0.031125
   0.676        0.031656
   0.677        0.032191
   0.678        0.032733
   0.679         0.03328
    0.68        0.033833
   0.681        0.034392
   0.682        0.034959
   0.683        0.035532
   0.684        0.036109
   0.685        0.036693
   0.686        0.037281
   0.687        0.037875
   0.688        0.038477
   0.689        0.039084
    0.69        0.039697
   0.691        0.040315
   0.692         0.04094
   0.693         0.04157
   0.694        0.042206
   0.695        0.042848
   0.696        0.043496
   0.697        0.044149
   0.698        0.044809
   0.699        0.045473
     0.7        0.046145
   0.701        0.046823
   0.702        0.047505
   0.703        0.048193
   0.704        0.048886
   0.705        0.049585
   0.706         0.05029
   0.707        0.051001
   0.708        0.051718
   0.709        0.052438
    0.71        0.053166
   0.711        0.053902
   0.712        0.054649
   0.713        0.055402
   0.714        0.056166
   0.715        0.056939
   0.716        0.057721
   0.717        0.058515
   0.718        0.059318
   0.719         0.06013
    0.72        0.060952
   0.721        0.061783
   0.722        0.062627
   0.723         0.06348
   0.724        0.064344
   0.725        0.065219
   0.726        0.066104
   0.727           0.067
   0.728        0.067908
   0.729        0.068827
    0.73        0.069757
   0.731        0.070699
   0.732        0.071652
   0.733        0.072617
   0.734        0.073594
   0.735        0.074582
   0.736        0.075583
   0.737        0.076598
   0.738        0.077623
   0.739        0.078662
    0.74        0.079714
   0.741        0.080779
   0.742        0.081856
   0.743        0.082948
   0.744        0.084052
   0.745        0.085171
   0.746        0.086303
   0.747        0.087449
   0.748         0.08861
   0.749        0.089784
    0.75        0.090973
   0.751        0.092179
   0.752        0.093407
   0.753        0.094648
   0.754        0.095899
   0.755        0.097161
   0.756        0.098433
   0.757        0.099716
   0.758        0.101011
   0.759        0.102316
    0.76        0.103633
   0.761        0.104959
   0.762        0.106298
   0.763        0.107647
   0.764        0.109007
   0.765        0.110378
   0.766        0.111759
   0.767        0.113151
   0.768        0.114554
   0.769        0.115967
    0.77        0.117393
   0.771        0.118829
   0.772        0.120276
   0.773        0.121735
   0.774        0.123204
   0.775        0.124684
   0.776        0.126176
   0.777        0.127678
   0.778        0.129191
   0.779        0.130716
    0.78        0.132251
   0.781        0.133796
   0.782        0.135353
   0.783        0.136921
   0.784        0.138499
   0.785         0.14009
   0.786        0.141701
   0.787        0.143331
   0.788        0.144967
   0.789        0.146605
    0.79        0.148244
   0.791         0.14988
   0.792         0.15151
   0.793        0.153134
   0.794        0.154757
   0.795        0.156377
   0.796        0.157992
   0.797        0.159606
   0.798         0.16122
   0.799        0.162836
     0.8        0.164455
   0.801        0.166072
   0.802        0.167691
   0.803        0.169317
   0.804        0.170947
   0.805        0.172582
   0.806        0.174219
   0.807         0.17586
   0.808        0.177509
   0.809        0.179163
    0.81        0.180821
   0.811        0.182483
   0.812        0.184154
   0.813        0.185832
   0.814        0.187516
   0.815        0.189207
   0.816        0.190904
   0.817        0.192609
   0.818         0.19432
   0.819        0.196039
    0.82        0.197764
   0.821        0.199499
   0.822        0.201243
   0.823        0.202998
   0.824        0.204763
   0.825        0.206537
   0.826        0.208316
   0.827        0.210106
   0.828        0.211915
   0.829        0.213732
    0.83        0.215557
   0.831        0.217395
   0.832        0.219246
   0.833        0.221109
   0.834        0.222985
   0.835        0.224875
   0.836        0.226782
   0.837        0.228705
   0.838        0.230639
   0.839        0.232564
    0.84        0.234485
   0.841        0.236426
   0.842        0.238389
   0.843        0.240376
   0.844        0.242389
   0.845        0.244429
   0.846        0.246495
   0.847        0.248587
   0.848        0.250707
   0.849        0.252854
    0.85        0.255026
   0.851        0.257224
   0.852        0.259447
   0.853        0.261697
   0.854        0.263973
   0.855        0.266272
   0.856        0.268593
   0.857        0.270938
   0.858        0.273298
   0.859        0.275675
    0.86        0.278074
   0.861        0.280484
   0.862        0.282907
   0.863        0.285344
   0.864        0.287793
   0.865        0.290254
   0.866        0.292724
   0.867        0.295204
   0.868        0.297694
   0.869        0.300194
    0.87        0.302703
   0.871        0.305217
   0.872         0.30774
   0.873        0.310267
   0.874        0.312797
   0.875        0.315333
   0.876        0.317867
   0.877        0.320399
   0.878        0.322926
   0.879        0.325439
    0.88        0.327943
   0.881        0.330432
   0.882        0.332905
   0.883        0.335357
   0.884        0.337785
   0.885        0.340193
   0.886        0.342579
   0.887        0.344937
   0.888        0.347262
   0.889        0.349559
    0.89        0.351827
   0.891        0.354063
   0.892        0.356273
   0.893        0.358457
   0.894        0.360624
   0.895        0.362773
   0.896        0.364906
   0.897        0.367032
   0.898        0.369148
   0.899        0.371259
     0.9        0.373374
   0.901        0.375489
   0.902         0.37761
   0.903        0.379733
   0.904        0.381866
   0.905        0.384014
   0.906        0.386184
   0.907        0.388378
   0.908        0.390596
   0.909        0.392835
    0.91        0.395102
   0.911        0.397412
   0.912        0.399763
   0.913        0.402149
   0.914        0.404562
   0.915        0.407004
   0.916        0.409478
   0.917        0.411981
   0.918        0.414514
   0.919         0.41707
    0.92        0.419641
   0.921        0.422234
   0.922        0.424845
   0.923        0.427469
   0.924        0.430099
   0.925        0.432734
   0.926         0.43538
   0.927        0.438031
   0.928        0.440682
   0.929        0.443332
    0.93        0.445977
   0.931        0.448628
   0.932         0.45128
   0.933        0.453929
   0.934        0.456573
   0.935        0.459216
   0.936         0.46186
   0.937        0.464506
   0.938        0.467156
   0.939        0.469806
    0.94         0.47246
   0.941        0.475121
   0.942        0.477787
   0.943         0.48046
   0.944        0.483131
   0.945        0.485806
   0.946        0.488494
   0.947        0.491199
   0.948        0.493924
   0.949        0.496677
    0.95        0.499449
   0.951        0.502247
   0.952        0.505067
   0.953        0.507918
   0.954        0.510798
   0.955        0.513705
   0.956        0.516644
   0.957        0.519621
   0.958         0.52264
   0.959        0.525702
    0.96        0.528801
   0.961         0.53194
   0.962        0.535124
   0.963        0.538341
   0.964        0.541587
   0.965        0.544884
   0.966        0.548216
   0.967        0.551579
   0.968        0.554972
   0.969        0.558399
    0.97        0.561851
   0.971        0.565323
   0.972         0.56881
   0.973        0.572311
   0.974        0.575815
   0.975        0.579318
   0.976        0.582819
   0.977        0.586307
   0.978        0.589775
   0.979        0.593216
    0.98        0.596624
   0.981        0.600003
   0.982        0.603349
   0.983        0.606648
   0.984        0.609904
   0.985        0.613129
   0.986        0.616321
   0.987        0.619469
   0.988        0.622579
   0.989        0.625656
    0.99        0.628673
   0.991        0.631642
   0.992        0.634564
   0.993        0.637444
   0.994        0.640279
   0.995        0.643074
   0.996        0.645828
   0.997        0.648546
   0.998        0.651225
   0.999        0.653855
       1        0.656443
   1.001        0.659001
   1.002        0.661528
   1.003        0.664016
   1.004        0.666471
   1.005        0.668894
   1.006        0.671275
   1.007        0.673609
   1.008        0.675898
   1.009        0.678137
